"club","best_pos","name","pa"
"Ajax","AM (L)","Naci ÃƒÂœnÃƒÂ¼var",178
"Ajax","M (C)","Ryan Gravenberch",175
"Ajax","D (R)","Devyne Rensch",168
"Ajax","D (C)","Lisandro MartÃƒÂ­nez",166
"Ajax","AM (C)","Sontje Hansen",157
"Ajax","D (L)","Anass Salah-Eddine",148
"Ajax","ST (C)","Brian Brobbey",148
"Ajax","GK","Calvin Raatsie",143
"Ajax","AM (R)","Christian Rasmussen",140
"Ajax","DM","Carel Eiting",130
"Barcelona","AM (L)","Ansu Fati",181
"Barcelona","M (C)","Ilaix Moriba",169
"Barcelona","D (C)","Ronald AraÃƒÂºjo",168
"Barcelona","AM (C)","Gavi",161
"Barcelona","D (R)","Moussa WaguÃƒÂ©",161
"Barcelona","AM (R)","Francisco TrincÃƒÂ£o",152
"Barcelona","ST (C)","Gerard FernÃƒÂ ndez",136
"Barcelona","GK","Arnau Tenas",132
"Barcelona","D (L)","Mika MÃƒÂ¡rmol",130
"Barcelona","M (L)","Alejandro Balde",128
"Barcelona","DM","ÃƒÂ€lex Rico",107
"Barcelona","DM","ÃƒÂ€lex Sala",107
"Borussia Dortmund","ST (C)","Erling Haaland",189
"Borussia Dortmund","AM (C)","Giovanni Reyna",180
"Borussia Dortmund","M (L)","Jadon Sancho",178
"Borussia Dortmund","M (C)","Jude Bellingham",173
"Borussia Dortmund","D (C)","Dan-Axel Zagadou",157
"Borussia Dortmund","D (R)","Felix Passlack",146
"Borussia Dortmund","GK","Luca Unbehaun",143
"Borussia Dortmund","AM (R)","Ansgar Knauff",138
"Borussia Dortmund","DM","Kamal Bafounta",133
"Borussia Dortmund","WB (R)","Mateu Morey",121
"Borussia Dortmund","D (L)","Lloyd-Addo Kuffour",119
"Borussia Dortmund","AM (L)","Malte Wengerowski",95
"Man City","AM (C)","Phil Foden",175
"Man City","AM (R)","Ferran Torres",165
"Man City","D (C)","Eric GarcÃƒÂ­a",165
"Man City","M (C)","AdriÃƒÂ  BernabÃƒÂ©",149
"Man City","DM","Claudio Gomes",145
"Man City","AM (L)","Liam Smith",145
"Man City","ST (C)","Daniel Ogwuru",143
"Man City","WB (R)","Alpha Dionkou",141
"Man City","GK","Mikki van Sas",138
"Man City","D (L)","ÃƒÂ“scar Tarensi",135
"Man City","D (R)","CJ Egan-Riley",114
"RB Leipzig","AM (L)","Justin Kluivert",169
"RB Leipzig","M (C)","Dominik Szoboszlai",169
"RB Leipzig","AM (C)","Dani Olmo",168
"RB Leipzig","D (C)","Dayot Upamecano",167
"RB Leipzig","D (R)","Nordi Mukiele",156
"RB Leipzig","M (R)","Fabrice Hartmann",153
"RB Leipzig","D (L)","Matthew Bondswell",101
